IDX,발화자,발화문,인텐트,상담번호,상담내순번
28432,c,상품을 오래 기다려서 받았는데 5개 중에 3개가 깨져서 배송이 왔네요 재배송해주 실래요?,교환|반품|환불_일반_요청,329082,1
28433,s,익일 출고해 드리겠습니다.,교환|반품|환불_일반_요청,329082,2
28434,c,아직 출고안 됐으면 색상 흰색으로 변경해 주실 수 있나요?,교환|반품|환불_일반_요청,228565,1
28435,s,제품 출고가 된 부분이며 해당 제품 한진택배 측에서 스캔 작업을 안 하여 배송추적이 안 되는 부분입니다 이 점 양해 부탁드립니다.,교환|반품|환불_일반_요청,228565,2
28436,c,이 거환불해 주실 수는 없나요?,교환|반품|환불_일반_요청,237169,1
28437,s,기기 장착 후 삼단으로 접으시면 거치가 가능하시며 삼단으로 접는 경우 앞면이 들 뜨는 현상이 처음에 나타날 수 있는 점 양해 부탁드립니다.,교환|반품|환불_일반_요청,237169,2
28438,c,저기요초기 불량으로 교환신청을 했는데 택배비도 제가 왕복 부담해야 해여?이럴 거면 반품 환불 처리해주세요,교환|반품|환불_일반_요청,270628,1
28439,s,삼성 정품의 초기 불량 및 교환은 삼성 서비스센터를 통해서만 가능합니다. 반품의 경우는 미사용 미개봉 시에 반품 처리 가능하고요.,교환|반품|환불_일반_요청,270628,2
28440,c,누가 컴퓨터 작업하면서 타자칠 때 신경 써가며 쓰겠습니까?,교환|반품|환불_일반_요청,223276,1
28441,s,상품에 문제가 있다면 교환 반품 가능합니다 단박스가 꼭 있어야 처리 가능합니다.,교환|반품|환불_일반_요청,223276,2
28442,c,불량인 것 같아요. 혹시 교환 가능할까요?,교환|반품|환불_일반_요청,254304,1
28443,s,해당 상품에 대해서는 회수 진행 없이 폐기 부탁드리며 금일 새 상품으로 교환출고 진행하겠습니다.,교환|반품|환불_일반_요청,254304,2
28444,c,노이즈 때문에 교환 요청했습니다 지금 진행이 어디쯤 되 엇나요?,교환|반품|환불_일반_요청,392546,1
28445,s,오늘 오후에 제품이 입고가 되었습니다. 제품 간단하게 테스트 후 제품에 문제가 있다면 새 제품으로 출고하도록 하겠습니다.,교환|반품|환불_일반_요청,392546,2
28446,c,반품 신청했는데 택배사에 따로 신청이 어려워 수거 신청 좀 해주실 수 있나요?,교환|반품|환불_일반_요청,151350,1
28447,s,소중한 문의에 답변 드리겠습니다. 네 수거 신청은 해두었습니다.,교환|반품|환불_일반_요청,151350,2
28448,c,갑자기 한쪽 소리가 안 들려요 교환 부탁드려도 될까요?,교환|반품|환불_일반_요청,330001,1
28449,s,교환 접수를 해주시면 수거하여 교환품으로 교환해드리도록 하겠습니다 좋은 하루 보내세요.,교환|반품|환불_일반_요청,330001,2
28450,c,다른 한 개는 멀쩡하거든요 요는 따뜻한 거 같아서 문제는 없어 보이고 조절기만 교환 가능할까요?,교환|반품|환불_일반_요청,363210,1
28451,s,제품 조절기만 교환으로 접수해드렸습니다. 익일 1 - 3일 안에 배송지 주소로 회수기사님 방문해 주시면 제품 포장해서 전달해 주시길 바라며  조절기는 당사로 입고 후 빠르게 교환출고해 드리도록 하겠습니다.,교환|반품|환불_일반_요청,363210,2
28452,c,열심히 조립하고 보니 잘못 주문했는데 교환되나요?,교환|반품|환불_일반_요청,343396,1
28453,s,죄송하지만 조립 후에는 교환 반품이 불가합니다. 좋은 하루 되세요.,교환|반품|환불_일반_요청,343396,2
28454,c,라디오 주파수가 안 잡혀요. 문제가 있는 것 같아요 교환되나요?,교환|반품|환불_일반_요청,148864,1
28455,s,오호이용과 관심에 다시 한 번 더 감사드리고요 늘 평안하세요.,교환|반품|환불_일반_요청,148864,2
28456,c,회수안합니까?,교환|반품|환불_일반_요청,343255,1
28457,s,회수 요청 드렸으나 반품 취소 거부로 접수되어 있네요 다시 한번 재접수도와 드리겠습니다.,교환|반품|환불_일반_요청,343255,2
28458,c,끈 마감이 제대로 안 되서 스트랩 끼우면 줄에 올이 다 나가 여 끈 좀 다른 걸로 보내 주심 안 되나요?,교환|반품|환불_일반_요청,349956,1
28459,s,스트랩만 재출고도와 드리곘습니다.,교환|반품|환불_일반_요청,349956,2
28460,c,환불 처리하시라구요. 왜 맘대로 보냅니까?,교환|반품|환불_일반_요청,367226,1
28461,s,죄송하게도 안 내드렸다 시피 고객님의 상품은 이미 배송 중이었고 배송 중인 상품은 취소 요청이 들어와도 취소로 진행을 해드릴 수가 없습니다.,교환|반품|환불_일반_요청,367226,2
28462,c,여기 상품 문의 보니까 진짜 적당히 하세요 나 같은 사람이 한두 명 아닌 것 같네요?,교환|반품|환불_일반_요청,391921,1
28463,s,제품일 전에 주문 시 받으셨던 주소지로 회수 접수 진행하였습니다 내 일부터 기사님 방문 예정일이며 기사님 방문 시 문제 상품 전달부탁드립니다.,교환|반품|환불_일반_요청,391921,2
28464,c,갈 축주문 한 거 오늘 받았는데 청축으로 교환 가능한가요?,교환|반품|환불_일반_요청,226865,1
28465,s,제품.메모지 기재하여 저희 쪽으로 CJ택배 이용하여 반송해주세요.,교환|반품|환불_일반_요청,226865,2
28466,c,빨리 회수 부탁드려요 #주소# 출하 부 서택배 반품 신청이 안 되었나요?,교환|반품|환불_일반_요청,321355,1
28467,s,반송하시는 상품 택배사에 금일 재회수 접수하였으며 영업일 기준으로 1 - 3일 이내 방문 예정이오니 반송부탁드립니다.,교환|반품|환불_일반_요청,321355,2
28468,c,이번에 빈티지 레드 구입 햇는데 포타필터가 너무 장난감 같아서 카페서 사용하는 스텐 제품으로 교체 가능한가요?,교환|반품|환불_일반_요청,400738,1
28469,s,포터필터 내부 지름은 53MM   외부 지름은 약 58MM 입니다만  지금 사이즈가 맞아도 두께가 안 맞을 수도 있사 오니  되도록 당사 제품 사용을 권장 드립니다.,교환|반품|환불_일반_요청,400738,2
28470,c,잘못 제작된 거 같은데 교환 가능한가요?,교환|반품|환불_일반_요청,328800,1
28471,s,지문인식을 위한 점착필름이며 필름장착시에 케이스의 간섭이 없어야 필름 떨어짐이 발생되지 않습니다.,교환|반품|환불_일반_요청,328800,2
28472,c,1번랜덤 발송이 제품에 하자가 있는 제품을 말하는 거였나요?,교환|반품|환불_일반_요청,223176,1
28473,s,대한통운 착불로 보내주시면 입고 확인 후 교환 발송하겠습니다.,교환|반품|환불_일반_요청,223176,2
28474,c,리모컨만 바로 배송 요청합니다. 그리고 판매처 연락처는 어디 있나요?,교환|반품|환불_일반_요청,343376,1
28475,s,네 차주 월요일인 7월 10일에 리모컨만 발송해 드리겠습니다. 교환이 아니니 불량 리모컨은 폐기해 주시면 됩니다.,교환|반품|환불_일반_요청,343376,2
28476,c,30분 후 깜빡 깜빡거리며 전기요 온도가 서늘하게 식던데 왜 그런 건가요?,교환|반품|환불_일반_요청,342374,1
28477,s,일단 교환이나 반품 신청 부탁드리겠습니다 저희 쪽에서 확인 후에 재출고도와 드리겠습니다.,교환|반품|환불_일반_요청,342374,2
28478,c,교환 키보드 언제 보내나요?,교환|반품|환불_일반_요청,223306,1
28479,s,교환 상품 발송하였습니다.,교환|반품|환불_일반_요청,223306,2
28480,c,더 블로 교환할께 요오늘 택배 신청해놓을께요 차액은 어떠케 하죠?,교환|반품|환불_일반_요청,406946,1
28481,s,시스템상으로 반품으로 조회됩니다.,교환|반품|환불_일반_요청,406946,2
28482,c,머리카락만 제거하고 같은 물건 다시 보내지 마시고 이번엔 꼭 흠집 없는 새 상품 보내주세요 지난주 금요일 오후에 수거해 갔는데 언제 새로 배송받을 수 있을까요?,교환|반품|환불_일반_요청,120411,1
28483,s,보내주신 상품 어제 업체로 입고되어 말씀하신 부분 확인되었습니다. 절대 보내주신 상품은 재출고가 되지 않습니다.,교환|반품|환불_일반_요청,120411,2
28484,c,11.25일에 샀는데요 몇 일 쓰다보니깐 고장이 있네 여 몇 일 쓴다구 고장이나나요?,교환|반품|환불_일반_요청,223272,1
28485,s,현재로서는 7일 경과건으로 인해 제조사로 문의하시어 교환 처리 받으셔야 합니다.,교환|반품|환불_일반_요청,223272,2
28486,c,인 식 안 되는 건지 고장인지 어떻게 해야 하나요?,교환|반품|환불_일반_요청,289280,1
28487,s,교환 신청을 해주시면 착불교환해드리겠습니다.,교환|반품|환불_일반_요청,289280,2
28488,c,핑크가 매진으로 나와서 일단 화이트 주문했는데 재고 혹시라도 있으면 핑크로 보내주실 수 있나요?,교환|반품|환불_일반_요청,343860,1
28489,s,아쉽게도 화이트 제품으로 발송해 드렸어요 금일 발송 처리되었으니 조금만 기다려주세요.,교환|반품|환불_일반_요청,343860,2
28490,c,반품 신청했는데 택배 예약은 되었는지요?,교환|반품|환불_일반_요청,197677,1
28491,s,21일자로 택배 수거접수요청하였으나 아직 수거가 되지 않은 것으로 확인되어 금일재수거접수 진행하였습니다.,교환|반품|환불_일반_요청,197677,2
28492,c,마이크로SD16 기가로 교환해주세요 차액은 어떻게 계산되나요?,교환|반품|환불_일반_요청,179698,1
28493,s,차액금 3200원 교환제품에 동봉해서 같이 보내주세요.,교환|반품|환불_일반_요청,179698,2
28494,c,교환 오늘 발송해주시는 건가요?,교환|반품|환불_일반_요청,278352,1
28495,s,금일 재발송하겠습니다.,교환|반품|환불_일반_요청,278352,2
28496,c,물론이 값에 이런 말하긴 쫌그러는데 최소한 키보드 능력은 다 해야 하지 않나요?,교환|반품|환불_일반_요청,223285,1
28497,s,시 제이접수하겠습니다 기사님 방문 시 보내주시면 되구요.,교환|반품|환불_일반_요청,223285,2
28498,c,코로나로 인해 출국을 못하게 됬는데 환불 가능하죠?,교환|반품|환불_일반_요청,387691,1
28499,s,고객님은 현재 미 구매로 확인됩니다.,교환|반품|환불_일반_요청,387691,2
28500,c,동일SSD에 다른 케이블 사용 시 정상 작동합니다 교환요청 가능할까요?,교환|반품|환불_일반_요청,183594,1
28501,s,네.맞교환 처리로 도와드리겠습니다.,교환|반품|환불_일반_요청,183594,2
28502,c,반품 신청했는데요 현황에 보니 상품 확인 중이라 뜨는데 오늘 중으로 취소 완료 가능할까요?,교환|반품|환불_일반_요청,328196,1
28503,s,보내주신제품 31일 저희 쪽에 입고 확인되었습니다. 반품 접수해드리도록 하겠습니다.,교환|반품|환불_일반_요청,328196,2
28504,c,블루투스 연결이 끊기네요. 교환할 수 있을까요?,교환|반품|환불_일반_요청,228301,1
28505,s,교환신청 바랍니다.,교환|반품|환불_일반_요청,228301,2
28506,c,빨리 받으려고 2건 주문했는데 왜 우편으로 보내시나여?6일 배송 예정이던데 약속하고 틀려서 환불하겠습니다,교환|반품|환불_일반_요청,329906,1
28507,s,수령하신 걸로 나와 있습니다.,교환|반품|환불_일반_요청,329906,2
28508,c,불량으로 교환신청했는데 물건 보내셨나요?,교환|반품|환불_일반_요청,196983,1
28509,s,맞교환으로 접수되었으며 어제 출고요청으로 들어갔으나 현재 택배사 추석 물량으로 배송이 지연되고 있습니다.,교환|반품|환불_일반_요청,196983,2
28510,c,몇일 전에 사서 컴터로 등록하고 오늘 충전을 할려고 하는데 충전이 안 됩니다 차량용 충전기로도 안 되고요 교환 가능합니까?,교환|반품|환불_일반_요청,289278,1
28511,s,고객님의 문의사항을 고객센터에 접수해드렸습니다.,교환|반품|환불_일반_요청,289278,2
28512,c,분명히 정품샵에서 샀는데 KC마크는 없고 파이마크가 있는데 이것도 교환되나요?,교환|반품|환불_일반_요청,190254,1
28513,s,소다스트림 실린더는 KC인증이 없습니다. 저희 쪽에서 충전이 불가하시고요.,교환|반품|환불_일반_요청,190254,2
28514,c,제가 노트북이 윈도우10PRO 인지 모르고 홈으로 구매했는데 혹시 환불이 가능할까요?,교환|반품|환불_일반_요청,402875,1
28515,s,제품 특성상 오픈되어 발송된 제품키는 교환 및 환불이 어렵습니다 양해 부탁드립니다.,교환|반품|환불_일반_요청,402875,2
28516,c,배송이 왔는데 깨져 수왔네요 어떻게 해야 하나요?,교환|반품|환불_일반_요청,355396,1
28517,s,저희가 회수 접수하겠습니다. 기사님 오시면 제품 보내주세요.,교환|반품|환불_일반_요청,355396,2
28518,c,1개가 그냥 혹시나 해서 확인했는데 충격 사진도 찍어놨어요 이런 경우 어떻게 해야 하나요?,교환|반품|환불_일반_요청,387631,1
28519,s,수거 없이 재발송하겠습니다.,교환|반품|환불_일반_요청,387631,2
28520,c,머리도 아프고 같이 산동생도 냄새나서 안 쓴다고 하는데 환불 처리 가능한가요?,교환|반품|환불_일반_요청,87440,1
28521,s,새 상품이라서 나는 냄새일 수 있습니다. 4 - 5시간 충분히 사용해주시면 냄새 빠지실 겁니다.,교환|반품|환불_일반_요청,87440,2
28522,c,환불해주시면 안 돼나요?,교환|반품|환불_일반_요청,183238,1
28523,s,상품이 재판매가 가능하다면 반품 가능합니다.,교환|반품|환불_일반_요청,183238,2
28524,c,상품받아서 조립했는데 모터 쪽이 안 맞는지 프로펠러?에서 덜덜덜 소리나 고심하게 진동 떨림나는데 불량인 거 같은데 교환 부탁드려요,교환|반품|환불_일반_요청,420079,1
28525,s,박스포장하시어 보내주시면 확인하여 교환발송해드리도록 하겠습니다.,교환|반품|환불_일반_요청,420079,2
28526,c,배송은 빠르나 테두리 쪽 접찹력이 아에 없는데 여?환불 해주세요,교환|반품|환불_일반_요청,369084,1
28527,s,회신 부탁드립니다.,교환|반품|환불_일반_요청,369084,2
28528,c,죄송하지만 혹시 교환 안 되나요?,교환|반품|환불_일반_요청,226831,1
28529,s,해당 사유의 교환 처리 시 왕복 배송비는 고객님께 부담되며 왕복 배송비 지불 시 제품 교환 처리 가능합니다.,교환|반품|환불_일반_요청,226831,2
28530,c,반품요청했습니다. 택배 언제 오나요?,교환|반품|환불_일반_요청,85518,1
28531,s,9층 두께로 두께감이 있어서 그렇게 느끼실 수 있는 것 같습니다. 반품요청하시면 처리해드리겠습니다.,교환|반품|환불_일반_요청,85518,2
28532,c,애초에 고장이 난 게 왔는데 구매일 1주일이 지났으니까니가 고쳐쓰던가 돈 내고 반품해 라이건가요?,교환|반품|환불_일반_요청,223183,1
28533,s,모든 상품 제조사로 통하여 이뤄지고 있습니다 쇼핑몰 기준이 7일 이내임을 공지해 드렸습니다.,교환|반품|환불_일반_요청,223183,2
28534,c,매요 화요일인데 안 왔소 아니 이번엔 또 먼 핑계대실라고?,교환|반품|환불_일반_요청,223293,1
28535,s,맞교환 발송하겠습니다 내일수취 가능합니다.,교환|반품|환불_일반_요청,223293,2
28536,c,두 개 구입했는데 한 개가 바람세기 위 아래 버튼 모두 누르면 그냥 꺼집니 다 교환 가능한가요?,교환|반품|환불_일반_요청,343375,1
28537,s,오늘 7월 10일에 맞교환 형식으로 새 제품 발송해드리겠습니다. 박스가 없을 경우엔 새 제품 받으시고 받으신 박스에 포장해주시면 됩니다.,교환|반품|환불_일반_요청,343375,2
28538,c,1월 15일에 배송된다고 했었는데 다시 또 연기되어 1월 30일?로 배송 예정일로 되어 있는데 이날짜도 확실한 게 아니라면 구매 취소할 수 있게 처리해주세요 시간이 돈인데 무슨 일을 이렇게 처리합니까?,교환|반품|환불_일반_요청,345640,1
28539,s,현재 현지 공장 문제로 입고 가 정상적으로 이뤄지지 않고 있습니다 배송 지연으로 인해  취소하실 경우 바로 환불도와드리도록 하겠습니다.,교환|반품|환불_일반_요청,345640,2
28540,c,불량 같은데 교환해주세요 터보 헤드는 봉 없이 바로 끼운 걸 말하는 것인가요?,교환|반품|환불_일반_요청,339155,1
28541,s,금일 바로 교환 처리도와드리겠습니다. 회수할 제품 미리 포장 부탁드립니다.,교환|반품|환불_일반_요청,339155,2
28542,c,1번 강화유리 신청하려 구한 건데 2번으로 잘못 주문했어요 변경 좀 부탁드려요?,교환|반품|환불_일반_요청,389406,1
28543,s,죄송하게도 문의주시기 전에 송장등록과 출고가 진행되어 변경이 불가하였습니다.,교환|반품|환불_일반_요청,389406,2
28544,c,교환해 주실 수 있나요?,교환|반품|환불_일반_요청,210107,1
28545,s,삼각대는 모두 새 제품으로 발송됩니다 삼각대는 길이가 길어서 포장이직사각형 직육면체로 1M 이상 길기 때문에 운송시 다른 중량물에 눌리거나 혼적되어 충격받으면 기스가 발생하는 경우가 있을 수 있습니다.,교환|반품|환불_일반_요청,210107,2
28546,c,강화유리 하나 부착할려고 봤는데 찍힌 자국이 있어요 하나만 교환 가능할까요?,교환|반품|환불_일반_요청,347501,1
28547,s,답장주시면 확인해 처리도와 드리겠습니다.,교환|반품|환불_일반_요청,347501,2
28548,c,2개 세트 구매해서 토요일 애물건 받고 하나는 부모님 드렸는데 요지 꺼는 이상이 없는 거 같은데 부모님드린 기계에서 삐 소리가 심하게 나서 두 분이 다 70이신데 그 소리가 다 들리고 잘 때 거슬린다고 하시는데요 교환이 될까요?,교환|반품|환불_일반_요청,353447,1
28549,s,수취인성함과 주소지 남겨주시면 내일 교환 진행하도록 하겠습니다.,교환|반품|환불_일반_요청,353447,2
28550,c,구매 후기에 글을 올렸는데 안 보셨나요?,교환|반품|환불_일반_요청,392600,1
28551,s,교환 신청 부탁드립니다.,교환|반품|환불_일반_요청,392600,2
28552,c,선풍기 날개 기스난 거안 오게 해주세요 새 거인데 왜 기스 난 게 왔죠?,교환|반품|환불_일반_요청,420053,1
28553,s,금일 판매처에서 누락부품 확인되어 날개 1개 재발송 처리됩니다. 생산 공정에서 스크레치가 있을 수 있는 점 양해 부탁드립니다.,교환|반품|환불_일반_요청,420053,2
28554,c,경비실에 가져다 놓앗는데 언제 가져가나요?,교환|반품|환불_일반_요청,281642,1
28555,s,구매자 정보가 확인되지 않아 답변 드리기 어렵습니다 주문번호를 남겨주시면 확인해드리도록 하겠습니다.,교환|반품|환불_일반_요청,281642,2
28556,c,호스가 골고루 분포가 안 되있는 거 같은데 장판만 교환해 주실 수 있나요?,교환|반품|환불_일반_요청,324726,1
28557,s,온수매트 37도는 한여름이나 취침 온도로 사용하시는 온도이며 현재 날씨에는 40 - 45도로 놓으셔야 따뜻하게 사용 가능하십니다.,교환|반품|환불_일반_요청,324726,2
28558,c,리뷰 올렸습니다 보시고 환불 부탁드려요?,교환|반품|환불_일반_요청,387508,1
28559,s,구매 내역에서 반품 및 교환신청해주시면 회수기사님이 방문하십니다. 아무 상자에 제품과 사유가 적힌 메모지 동봉해 주셔서 보내주시면 업체로 입고되는 대로 확인 후 신속한 처리도와 드리겠습니다.,교환|반품|환불_일반_요청,387508,2
28560,c,환불 당장 해주시기 바랍니다 받자마자 해보니깐 안 되었어요 상담원 말로는 방전되어서 그렇다네요?,교환|반품|환불_일반_요청,232647,1
28561,s,문제가 있다면 당연히 환불 해 드려야죠 일단 한진택배 접수하겠습니다 기사님 방문하시면 보내주십시요입고 확인 후 처리 가능합니다.,교환|반품|환불_일반_요청,232647,2
28562,c,주문자 : 이미 연.8번 실버로 했는데 블랙으로 색상 변경해 보내주실 수 있나요?,교환|반품|환불_일반_요청,278484,1
28563,s,네 주문하신 8번 상품 블랙 색상으로 변경해서 발송해 드리겠습니다.,교환|반품|환불_일반_요청,278484,2
28564,c,교환신청 교환신청했는데요저 아이패드 에어케이스 그린 색깔로 교혼해서 보내주세요 혹시 다른 사은품도 함께 다시 보내야 되나요?,교환|반품|환불_일반_요청,237190,1
28565,s,정확하게 어떤 걸로 교환하실지 입고된 후 확인 부탁드립니다.,교환|반품|환불_일반_요청,237190,2
28566,c,연락도 없고 어케된 거져? 옆에 찌그러져 옴,교환|반품|환불_일반_요청,197708,1
28567,s,고객님의 제품은 금일 재발송 처리 처리 및 안내드린 대로 수거 진행하도록 하겠습니다.,교환|반품|환불_일반_요청,197708,2
28568,c,스탠드로 주문했는데 죄송하지만 벽걸이로 바꿀 수 있을까요?,교환|반품|환불_일반_요청,245691,1
28569,s,확인 후 진행도와 드리며 삼성물류 일정에 따라 변동되 실 수 있습니다. 현재 주문량이 많아 배송 지연이 되실 수 있으며 추석 연휴 지나고 배송 진행이 되실 수 있는 점 양해 부탁드립니다.,교환|반품|환불_일반_요청,245691,2
28570,c,부모님 집으로 보냈는데 확인하고는 사용하지 않으시고 다시 포장해뒀대요근데 상품을 교환하지 않고 바퀴만 보내주실 수 있나요?,교환|반품|환불_일반_요청,320972,1
28571,s,누락되신 조절기만 재발송 가능하십니다. 금일은 업체 휴무로 익일 수령하신 주소지로 바퀴만 재발송하도록 하겠습니다.,교환|반품|환불_일반_요청,320972,2
28572,c,이 거 교환되나요?,교환|반품|환불_일반_요청,223115,1
28573,s,1월 주문건으로 확인되며 사용자마다 사용하시는 방법이 다르므로 해당 사유로는 저희 쪽에서는 제품 불량으로 교환 또는 환불 처리가 불가합니다.,교환|반품|환불_일반_요청,223115,2
28574,c,판매자님 새벽에 취소 요청했는데 아직 동요청 중이네 요 취소 승인해주세요?,교환|반품|환불_일반_요청,346836,1
28575,s,취소 처리 완료하였습니다.,교환|반품|환불_일반_요청,346836,2
28576,c,어떻게 두 번이나 이럴 수가 있죠?,교환|반품|환불_일반_요청,197675,1
28577,s,교환/환불 중 원하시는 방향으로 말씀해 주시면제시하 신 방향으로 처리하도록 하겠습니다.,교환|반품|환불_일반_요청,197675,2
28578,c,불량으로 2개 반품 회수하기로 콜센터에서 통화되었는데요 반품 승인은 언제 되나요?,교환|반품|환불_일반_요청,278268,1
28579,s,수거되시면 확인 후 반품 처리해드리겠습니다.,교환|반품|환불_일반_요청,278268,2
28580,c,오레오 블랙으로 주문했는데요퍼팩트 블랙으로 보내주실 수 있나요?,교환|반품|환불_일반_요청,229991,1
28581,s,확인하여 퍼펙트 블랙으로 발송도와 드리겠습니다. 3시 이전의 주문건에 대해서는 당일 발송됩니다.,교환|반품|환불_일반_요청,229991,2
28582,c,반품 수거해갔는데 왜 다시 발송 안 해주시나요?,교환|반품|환불_일반_요청,119594,1
28583,s,5월 10일 입고되어 11일 검수 완료되었습니다. 금일 문제 부분교체하여 출고 예정입니다.,교환|반품|환불_일반_요청,119594,2
28584,c,엘지전용 에어컨 리모콘을 샀는데 작동이 안 되네요 반품 가능한가요?,교환|반품|환불_일반_요청,323741,1
28585,s,문의 주 신제품은 네 해당 제품 신청해주시면 회수하여 확인 후 진행해 드리겠습니다.,교환|반품|환불_일반_요청,323741,2
28586,c,반품 신청도 했습니다 택배기사님 보내주시는 거죠?,교환|반품|환불_일반_요청,309669,1
28587,s,네 제품 택배 접수해드리겠습니다. 받으신 상태로 포장해 두셨다가 반송부탁드립니다.,교환|반품|환불_일반_요청,309669,2
28588,c,"프로로 깔은 줄 깜빡하고, 홈버젼샀는데 교환되나요?",교환|반품|환불_일반_요청,402960,1
28589,s,죄송하지만 제품 특성상 발송된 제품키는 교환 및 환불이 어렵습니다 양해 부탁드립니다.,교환|반품|환불_일반_요청,402960,2
28590,c,환불 및 반품 교환해주세요?,교환|반품|환불_일반_요청,309603,1
28591,s,본 제품 금일 택배회수 접수하였으며 1 - 3일 이내 방문될 예정이니 제품 반송 부탁드립니다.,교환|반품|환불_일반_요청,309603,2
28592,c,어젯밤에 바이올릿으로 주문했는데 핑크로 좀 바꿀 수 있을까요?,교환|반품|환불_일반_요청,405111,1
28593,s,핑크 색상으로 변경하여 출고하도록 하겠습니다.,교환|반품|환불_일반_요청,405111,2
28594,c,저선인장은 제가 갤럭시 10E 인데 10으로 잘못 시켰는데 교환이 가능할까요?,교환|반품|환불_일반_요청,409787,1
28595,s,교환은 가능하시나 그렇게 되면 왕복 택배비를 고객님께서 부담해 주셔야 하는 점 양해드려요.,교환|반품|환불_일반_요청,409787,2
28596,c,충전이 되다가 안 되고 그러네요 교환할 수 있을까요?,교환|반품|환불_일반_요청,350236,1
28597,s,구매 내역에서 반품 및 교환신청해주시면 클레임 접수가 되고 택배 회수기사님도 접수됩니다.,교환|반품|환불_일반_요청,350236,2
28598,c,3개 중 2개가 카메라 부분 보호하려고 튀어나온 곳이 파여 있는데 1개는 미미해서 그냥 쓸 거고 나머지 1개가 아예 심하게 파여 있네요 사진 요청하실 경우 사진도 찍어 보내드릴게요 1개 교환 가능한가요?,교환|반품|환불_일반_요청,387901,1
28599,s,회수 없이 교환상품 익일 출고 처리하겠습니다. 교환신청은 따로 하실 필요 없으며  이미 신청한 뒤라면 꼭 철회 부탁드립니다.,교환|반품|환불_일반_요청,387901,2
28600,c,아니저는 여기서 구매한 건데 어떤 소비자가 돈 주고 정당한 구매를 하는데 제품 생산업체의 사정을 고려하나요?,교환|반품|환불_일반_요청,153787,1
28601,s,질의주신 내용으로 교환 불가하다는 점 양해 부탁드립니다. 도움 못 드려서 죄송합니다.,교환|반품|환불_일반_요청,153787,2
28602,c,"제품 하자로 교환신청하려고 하는데, 박스를 모르고 버려서 그 안에 잇던 충전 케이블이랑 귀고무마개 여유분까지 다 버렷는데, 교환 가능할까요?",교환|반품|환불_일반_요청,392587,1
28603,s,제품 본체만 보내셔도 됩니다. 저희 쪽에서도 제품 본체만 교환 진행하도록 하겠습니다.,교환|반품|환불_일반_요청,392587,2
28604,c,아니 반품 상품도착한지가 언제인 대반품 처리를 안 해줍니까?,교환|반품|환불_일반_요청,325059,1
28605,s,환불 처리 완료되었습니다.,교환|반품|환불_일반_요청,325059,2
